variant,cv_auc,best_params,scale_pos_weight,threshold,oof_auc,oof_precision,oof_recall,oof_f1,oof_f2,test_auc,test_f1_default,test_precision_default,test_recall_default,test_f1_optimized,test_precision_optimized,test_recall_optimized
XGBoost + old preprocessing,0.920931976010101,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",2.0,0.43000000000000005,0.9114959114959115,0.7294117647058823,0.8051948051948052,0.7654320987654321,0.7888040712468194,0.8870346598202823,0.7647058823529411,0.8666666666666667,0.6842105263157895,0.7777777777777778,0.8235294117647058,0.7368421052631579
XGBoost without scaling/log transform,0.9185361426767675,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200, 'subsample': 0.8}",2.0,0.4800000000000001,0.9107744107744107,0.775,0.8051948051948052,0.7898089171974523,0.7989690721649485,0.8408215661103979,0.7058823529411765,0.8,0.631578947368421,0.7428571428571429,0.8125,0.6842105263157895
